transaction_id,timestamp,customer_id,account_number,transaction_type,debit_amount,credit_amount,merchant_category,channel,city,balance,is_fraud
TXN000001,2026-03-05 23:06:43,CUST1758,ACC671858,NET_BANKING_DEBIT,1714.40,0.00,ELECTRONICS,BRANCH,Kolkata,72549.59,0
TXN000002,2026-03-01 17:12:45,CUST1665,ACC835392,POS_DEBIT,495.47,0.00,UTILITIES,WEB_PORTAL,Ahmedabad,133758.49,0
TXN000003,2026-03-25 05:44:27,CUST1348,ACC391369,INTEREST_CREDIT,0.00,24473.35,DINING,WEB_PORTAL,Pune,219285.58,0
TXN000004,2026-03-20 08:51:02,CUST1747,ACC581741,POS_DEBIT,1436.55,0.00,ELECTRONICS,ATM_KIOSK,Delhi,214161.18,0
TXN000005,2026-03-28 11:36:12,CUST1721,ACC172933,INTEREST_CREDIT,0.00,25522.48,GROCERY,WEB_PORTAL,Chennai,162730.35,0
TXN000006,2026-03-13 08:29:40,CUST1854,ACC482554,POS_DEBIT,12837.00,0.00,DINING,POS_TERMINAL,Pune,218623.66,1
TXN000007,2026-03-22 20:04:38,CUST1650,ACC279451,ATM_WITHDRAWAL,10069.12,0.00,ENTERTAINMENT,WEB_PORTAL,Ahmedabad,179927.77,1
TXN000008,2026-03-23 17:14:43,CUST1332,ACC983794,SALARY_CREDIT,0.00,23896.35,GROCERY,WEB_PORTAL,Mumbai,232466.93,0
TXN000009,2026-03-19 22:20:13,CUST1671,ACC623481,UPI_TRANSFER,6047.41,0.00,UTILITIES,ATM_KIOSK,Bengaluru,229586.99,0
TXN000010,2026-03-24 18:27:57,CUST1597,ACC518801,UPI_TRANSFER,2137.47,0.00,HEALTHCARE,WEB_PORTAL,Bengaluru,141659.66,0
TXN000011,2026-03-28 03:09:40,CUST1163,ACC930555,INTEREST_CREDIT,0.00,39546.11,UTILITIES,BRANCH,Delhi,192608.81,0
TXN000012,2026-03-17 08:35:55,CUST1965,ACC112038,SALARY_CREDIT,0.00,31713.35,ELECTRONICS,BRANCH,Chennai,249088.52,0
TXN000013,2026-03-01 23:56:46,CUST1269,ACC624902,NET_BANKING_DEBIT,5135.62,0.00,DINING,BRANCH,Delhi,52167.07,0
TXN000014,2026-03-05 11:48:10,CUST1552,ACC916449,NET_BANKING_DEBIT,4511.75,0.00,GROCERY,BRANCH,Pune,158108.00,0
TXN000015,2026-03-27 09:15:03,CUST1246,ACC694916,SALARY_CREDIT,0.00,6363.37,ELECTRONICS,MOBILE_APP,Ahmedabad,233338.17,0
TXN000016,2026-03-05 04:42:30,CUST1969,ACC676510,POS_DEBIT,14670.87,0.00,DINING,POS_TERMINAL,Kolkata,140185.95,1
TXN000017,2026-03-23 06:45:19,CUST1408,ACC804314,ATM_WITHDRAWAL,13937.26,0.00,HEALTHCARE,ATM_KIOSK,Ahmedabad,192487.32,1
TXN000018,2026-03-18 07:37:14,CUST1007,ACC174441,POS_DEBIT,3756.19,0.00,GROCERY,WEB_PORTAL,Delhi,19943.05,0
TXN000019,2026-03-08 08:42:31,CUST1219,ACC665427,POS_DEBIT,12901.55,0.00,DINING,BRANCH,Ahmedabad,31651.48,1
TXN000020,2026-03-07 03:06:42,CUST1441,ACC471507,ATM_WITHDRAWAL,11780.06,0.00,UTILITIES,ATM_KIOSK,Ahmedabad,204761.79,1
TXN000021,2026-03-02 12:46:21,CUST1819,ACC214576,NET_BANKING_DEBIT,859.86,0.00,ENTERTAINMENT,WEB_PORTAL,Hyderabad,166852.24,0
TXN000022,2026-03-09 14:15:55,CUST1945,ACC179046,INTEREST_CREDIT,0.00,36402.95,INVESTMENT,BRANCH,Delhi,114142.19,0
TXN000023,2026-03-03 07:10:26,CUST1497,ACC604740,POS_DEBIT,9799.57,0.00,ENTERTAINMENT,ATM_KIOSK,Mumbai,18468.10,0
TXN000024,2026-03-26 14:18:27,CUST1713,ACC865990,ATM_WITHDRAWAL,5715.65,0.00,INVESTMENT,WEB_PORTAL,Hyderabad,77322.72,0
TXN000025,2026-03-02 23:20:03,CUST1051,ACC712554,UPI_TRANSFER,3304.63,0.00,INVESTMENT,BRANCH,Bengaluru,187898.24,0
TXN000026,2026-03-06 02:38:04,CUST1691,ACC346629,POS_DEBIT,14413.64,0.00,UTILITIES,MOBILE_APP,Hyderabad,33826.19,1
TXN000027,2026-03-14 21:37:36,CUST1535,ACC431737,INTEREST_CREDIT,0.00,46616.34,TRAVEL,WEB_PORTAL,Pune,160554.65,0
TXN000028,2026-03-15 10:59:48,CUST1958,ACC176066,ATM_WITHDRAWAL,4020.94,0.00,GROCERY,ATM_KIOSK,Delhi,166692.69,0
TXN000029,2026-03-12 02:56:15,CUST1378,ACC398830,POS_DEBIT,8087.63,0.00,DINING,ATM_KIOSK,Chennai,46127.29,0
